crop,crop_id,pest,scientific_name,pest_type,affected_plant_part,damage_symptoms,life_stage,favourable_conditions,cause_relationship,affected_diseases,management,prevention,source,source_url,verification_status,verification_date
"Cucumber","cucumber","Melon Fruit Fly","Bactrocera cucurbitae","Dipteran fruit fly","Tender and developing fruits","Female punctures fruit to lay eggs; maggots feed on internal pulp; fruits rot, deform, and drop.","Maggots inside fruit","Warm humid rainy season.","Pest infestation/damage","Secondary bacterial soft rot","Install cue-lure pheromone traps @ 8-10/acre; bait spray of Malathion 50% EC (2ml) + Jaggery (10g) per litre of water on border plants.","Collect and destroy fallen punctured fruits; bag fruits on vine.","ICAR-IIHR & TNAU","https://agritech.tnau.ac.in","VERIFIED","2026-09-20"
"Pumpkin","pumpkin","Red Pumpkin Beetle","Aulacophora foveicollis","Coleopteran leaf beetle","Cotyledon leaves, flowers, roots","Adults feed voraciously on cotyledons and leaves making circular holes; grubs feed underground on roots causing seedling collapse.","Adult beetles and grubs","Sunny warm weather during February-April and rainy season.","Pest infestation/damage","None directly transmitted","Dust wood ash on seedling leaves early morning; spray Chlorpyrifos 20% EC @ 2ml/L or Carbaryl 50% WP @ 2g/L.","Deep summer ploughing to expose hibernating beetles and grubs; hand collection of sluggish morning beetles.","ICAR-IIHR & TNAU","https://agritech.tnau.ac.in","VERIFIED","2026-09-20"
"Pumpkin","pumpkin","Melon Fruit Fly","Bactrocera cucurbitae","Dipteran fruit fly","Green fruits","Oviposition punctures ooze fluid; maggots feed inside causing watery pulp decay and premature fruit drop.","Maggots","Warm humid climate with high fruit load.","Pest infestation/damage","Secondary fruit soft rot","Install cue-lure traps @ 10/acre; spray bait solution of Jaggery 10g + Malathion 50% EC 2ml/L.","Bury infested rotten fruits 60cm deep; avoid staggered cucurbit cultivation.","ICAR-IIHR Bengaluru","https://iihr.res.in","VERIFIED","2026-09-20"
"Bitter Gourd","bitter_gourd","Melon Fruit Fly","Bactrocera cucurbitae","Dipteran fruit fly","Tender fruits","Resinous puncture marks on fruits; maggots feed on seeds and pulp, causing fruit deformation and rotting.","Maggots","Warm humid conditions during monsoon.","Pest infestation/damage","Secondary bacterial rot","Install cue-lure traps @ 10/acre; bait spray (10g jaggery + 2ml Malathion 50% EC / litre).","Cover tender fruits with newspaper bags; bury dropped fruits.","ICAR-IIHR & TNAU","https://agritech.tnau.ac.in","VERIFIED","2026-09-20"
"Bottle Gourd","bottle_gourd","Red Pumpkin Beetle","Aulacophora foveicollis","Coleopteran leaf beetle","Seedling leaves and flowers","Shot holes on leaves; grubs damage root system underground causing wilting.","Adults and grubs","Warm spring and summer seasons.","Pest infestation/damage","None directly transmitted","Dust wood ash on foliage; spray Quinalphos 25% EC @ 2ml/L.","Handpick beetles early morning; deep summer ploughing.","ICAR-IIHR & TNAU","https://agritech.tnau.ac.in","VERIFIED","2026-09-20"
"Ridge Gourd","ridge_gourd","Melon Fruit Fly","Bactrocera cucurbitae","Dipteran fruit fly","Developing ribbed fruits","Puncture punctures on fruit ridges; larvae tunnel through internal flesh causing rot and premature drop.","Maggots","Humid monsoon weather.","Pest infestation/damage","Fruit rot","Install cue-lure traps @ 8/acre; spray bait solution of jaggery + Malathion.","Field sanitation; destroy dropped fruits.","ICAR-IIHR & TNAU","https://agritech.tnau.ac.in","VERIFIED","2026-09-20"
"Beans","beans","Bean Aphid","Aphis fabae","Hemipteran sucking pest","Stems, undersides of leaves, pods","Stunted growth, crinkled leaves, sticky honeydew attracting sooty mold.","Nymphs and adults","Cool dry conditions during winter.","Pest vectors and transmits plant pathogenic virus","Bean Common Mosaic Virus (BCMV)","Spray Dimethoate 30% EC @ 1.5ml/L or Imidacloprid 17.8% SL @ 0.3ml/L; spray neem oil 10,000 ppm @ 2ml/L.","Install yellow sticky traps; maintain good field hygiene.","ICAR-IIHR & TNAU","https://agritech.tnau.ac.in","VERIFIED","2026-09-20"
"Cabbage","cabbage","Diamondback Moth (DBM)","Plutella xylostella","Lepidopteran defoliator","Undersurface of leaves, cabbage heads","Windowing of leaf lamina with whitish transparent patches; older caterpillars make irregular holes in inner leaves.","Larvae","Dry warm conditions (25-32°C), absence of heavy rainfall.","Pest infestation/damage","None directly transmitted","Intercrop with Indian Mustard (2 rows for every 25 rows cabbage) as trap crop; spray Bacillus thuringiensis (Bt) @ 2g/L or Spinosad 45% SC @ 0.3ml/L or Chlorantraniliprole 18.5% SC @ 0.3ml/L.","Install DBM pheromone traps @ 5/acre; avoid repeated use of synthetic pyrethroids due to high insecticide resistance.","ICAR-IIHR Bengaluru & TNAU","https://iihr.res.in","VERIFIED","2026-09-20"
"Cauliflower","cauliflower","Diamondback Moth (DBM)","Plutella xylostella","Lepidopteran leaf skeletonizer","Foliage, curds","Window-paning of leaves, feeding on curd surface causing discoloration and contamination with faeces.","Larvae","Warm dry spells during winter cultivation.","Pest infestation/damage","None directly transmitted","Spray Bt @ 2g/L or Chlorantraniliprole 18.5% SC @ 0.3ml/L or Flubendiamide 39.35% SC @ 0.2ml/L.","Plant mustard trap crop borders; pheromone traps @ 5/acre.","ICAR-IIHR Bengaluru","https://iihr.res.in","VERIFIED","2026-09-20"
"Carrot","carrot","Carrot Semi-Looper","Thysanoplusia orichalcea","Lepidopteran defoliator","Foliage","Caterpillars feed voraciously on feathery carrot leaves from margins inwards.","Larvae","Cool temperate winters, irrigated tracts.","Pest infestation/damage","None directly transmitted","Spray Quinalphos 25% EC @ 2ml/L or Emamectin Benzoate 5% SG @ 0.4g/L.","Handpick caterpillars; destroy crop residues after harvest.","ICAR-IIHR & TNAU","https://agritech.tnau.ac.in","VERIFIED","2026-09-20"
"Beetroot","beetroot","Beet Webworm / Leaf Webber","Spoladea recurvalis","Lepidopteran leaf webber","Leaves","Leaves webbed together with fine silken threads; caterpillars skeletonize foliage inside web.","Larvae","Warm humid weather, weedy field conditions.","Pest infestation/damage","None directly transmitted","Spray Malathion 50% EC @ 2ml/L or Chlorantraniliprole 18.5% SC @ 0.3ml/L.","Remove alternate weed hosts (Amaranthus spp.); clean cultivation.","TNAU Agritech Portal & ICAR","https://agritech.tnau.ac.in","VERIFIED","2026-09-20"
"Banana","banana","Banana Pseudostem Weevil","Odoiporus longicollis","Coleopteran borer","Pseudostem","Tiny pinhole punctures on pseudostem exuding transparent jelly-like gum; internal tunneling leads to lodging under wind pressure.","Grubs and adult weevils","Over-aged plantations, poorly drained soils, neglected clumps.","Pest infestation/damage","Secondary bacterial soft rot","Stem injection of Chlorpyrifos 20% EC @ 2.5ml/L or Swab pseudostem with Carbaryl 50% WP (2g/L); apply entomopathogenic fungus Beauveria bassiana.","Use clean tissue culture plantlets; longitudinal split pseudostem traps (20/acre) laced with Beauveria.","ICAR-NRCB Tiruchirappalli & TNAU","https://nrcb.icar.gov.in","VERIFIED","2026-09-20"
"Banana","banana","Banana Aphid","Pentalonia nigronervosa","Hemipteran vector","Crown base, leaf sheaths, pseudostem","Aphids congregate in leaf axils; exclusive vector of deadly Banana Bunchy Top Virus (BBTV).","Nymphs and adults","High relative humidity with moderate temperature.","Pest vectors and transmits plant pathogenic virus","Banana Bunchy Top Virus (BBTV)","Inject pseudostem with Dimethoate 30% EC @ 1ml/tree or spray leaf axils with Imidacloprid 17.8% SL @ 0.3ml/L.","Use virus-indexed certified tissue culture plants; eradicate bunchy top affected mats immediately.","ICAR-NRCB Tiruchirappalli","https://nrcb.icar.gov.in","VERIFIED","2026-09-20"
"Mango","mango","Mango Hopper","Idioscopus nitidulus","Hemipteran sucking insect","Inflorescence panicles, tender vegetative shoots","Nymphs and adults suck sap from panicles causing them to wither and dry (blossom blight); honeydew covers leaves with black sooty mold.","Nymphs and adults","Cloudy overcast weather during flowering (January-March) in South India.","Pest infestation/damage","Predisposes panicles to anthracnose and sooty mold","First spray at panicle emergence: Imidacloprid 17.8% SL @ 0.3ml/L or Thiamethoxam 25% WG @ 0.25g/L; second spray at pea stage: Dimethoate 30% EC @ 1.5ml/L.","Prune dense inner crisscross branches to admit sunlight; avoid spraying at full bloom to conserve pollinating honeybees.","ICAR-CISH Lucknow & TNAU","https://cish.icar.gov.in","VERIFIED","2026-09-20"
"Mango","mango","Oriental Fruit Fly","Bactrocera dorsalis","Dipteran fruit borer","Semi-ripe and ripe fruits","Oviposition punctures with dark liquid exudate; internal pulp consumed by maggots causing fruit rotting and drop.","Maggots","Summer months (April-June) during fruit ripening.","Pest infestation/damage","Secondary fruit rot","Install methyl eugenol pheromone traps @ 6-8/acre; bait spray of protein hydrolysate + Malathion 50% EC.","Hot water treatment of harvested fruits (48°C for 60 min); collect and bury fallen fruits.","ICAR-IIHR Bengaluru & TNAU","https://iihr.res.in","VERIFIED","2026-09-20"
"Papaya","papaya","Papaya Mealybug","Paracoccus marginatus","Hemipteran sucking pest","Leaves, fruits, stems","Thick white cottony mealybug wax clusters on leaves and fruits; leaf crinkling, fruit distortion, and heavy sooty mold.","Nymphs and adult females","Warm dry climate, absence of natural parasitoids.","Pest infestation/damage","None directly transmitted","Release exotic parasitoid Acerophagus papayae @ 100-250 per village/field; spray Profenofos 50% EC @ 2ml/L or Buprofezin 25% SC @ 1.5ml/L.","Eradicate alternate weed hosts (Parthenium hysterophorus); avoid moving infested planting material.","ICAR-NBAIR Bengaluru & TNAU","https://nbair.res.in","VERIFIED","2026-09-20"
"Pomegranate","pomegranate","Pomegranate Butterfly / Fruit Borer","Deudorix isocrates","Lepidopteran borer","Flower buds and developing fruits","Larvae bore into developing fruits; entry holes plugged with offensive-smelling faecal frass; fruit rots and drops.","Caterpillar","Flowering and fruiting season (mrig / hasta bahar).","Pest infestation/damage","Secondary bacterial/fungal fruit rot","Bag individual fruits with butter paper or non-woven fabric bags (10-15 days after fruit set); spray Chlorantraniliprole 18.5% SC @ 0.3ml/L or Spinosad 45% SC @ 0.3ml/L.","Clip and destroy infested fruits; release Trichogramma chilonis @ 100,000/ha.","ICAR-NRCP Solapur & MPKV Rahuri","https://nrcpomegranate.icar.gov.in","VERIFIED","2026-09-20"
"Guava","guava","Tea Mosquito Bug","Helopeltis antonii","Hemipteran mirid bug","Tender shoots, leaves, fruits","Necrotic angular brown spots on leaves; corky scab-like encrustations and cracking on fruits.","Nymphs and adults","Humid monsoon weather, dense shaded orchards.","Pest infestation/damage","None directly transmitted","Spray Dimethoate 30% EC @ 1.7ml/L or Thiamethoxam 25% WG @ 0.3g/L or Malathion 50% EC @ 2ml/L.","Prune dense canopies; monitor terminal shoots at early flush.","ICAR-CISH & TNAU","https://agritech.tnau.ac.in","VERIFIED","2026-09-20"
"Sapota","sapota","Sapota Bud Borer","Anarsia achrasella","Lepidopteran borer","Flower buds, young leaves","Caterpillars bore into buds, webbing them together; damaged buds shed, drastically reducing fruit set.","Larvae","Flushing and flowering periods (November-March).","Pest infestation/damage","None directly transmitted","Spray Quinalphos 25% EC @ 2ml/L or Chlorantraniliprole 18.5% SC @ 0.3ml/L at bud emergence.","Collect and destroy dropped buds; prune dried twigs.","TNAU Agritech Portal & ICAR","https://agritech.tnau.ac.in","VERIFIED","2026-09-20"
"Pineapple","pineapple","Pineapple Mealybug","Dysmicoccus brevipes","Hemipteran sucking insect","Leaf bases, roots, fruit eyes","Fluffy white colonies at plant base; causes mealybug wilt leading to flaccid, bronze-red wilted leaves and root rot.","Nymphs and adult females","Warm humid coastal conditions, attending ant populations.","Pest vectors and transmits plant pathogenic virus","Pineapple Mealybug Wilt-Associated Virus (PMWaV)","Dip suckers in Chlorpyrifos 20% EC (2.5ml/L) before planting; spray Dimethoate 30% EC @ 1.7ml/L around base.","Control attending ants with bund band spraying; use disease-free suckers.","KAU Kerala & ICAR","https://celkau.in","VERIFIED","2026-09-20"
"Grapes","grapes","Grapevine Flea Beetle","Scelodonta strigicollis","Coleopteran leaf beetle","Sprouting buds, tender leaves","Adults feed voraciously on emerging buds after October pruning, preventing shoot emergence; leaves riddled with shot holes.","Adult beetles","October pruning period in Peninsular India.","Pest infestation/damage","None directly transmitted","Spray Imidacloprid 17.8% SL @ 0.3ml/L or Spinosad 45% SC @ 0.3ml/L immediately after bud burst.","Remove loose bark on arms and stem during pruning; deep raking around vine trunk.","ICAR-NRCG Pune & TNAU","https://nrcgrapes.icar.gov.in","VERIFIED","2026-09-20"
"Grapes","grapes","Grapevine Mealybug","Maconellicoccus hirsutus","Hemipteran sap sucker","Shoots, clusters, berries","Cottony white wax covering bunches; berries crack, dry, and become coated in sticky sooty mold.","Nymphs and females","Hot dry spring weather (February-April).","Pest infestation/damage","None directly transmitted","Release predatory ladybird beetle Cryptolaemus montrouzieri @ 1500/ha; spray Buprofezin 25% SC @ 1.5ml/L.","Debark vines after pruning; apply sticky bands around main trunk.","ICAR-NRCG Pune","https://nrcgrapes.icar.gov.in","VERIFIED","2026-09-20"
"Jackfruit","jackfruit","Jackfruit Shoot and Fruit Borer","Diaphania caesalis","Lepidopteran borer","Tender shoots, buds, developing fruits","Larvae bore into tender shoots and developing fruits, leaving prominent holes filled with dark gummy frass.","Larvae","Warm humid rainy season.","Pest infestation/damage","Secondary fruit rot","Spray Chlorantraniliprole 18.5% SC @ 0.3ml/L or Quinalphos 25% EC @ 2ml/L during early fruit set.","Bag fruits with nylon mesh bags; remove and destroy infested fruits.","TNAU & ICAR-IIHR","https://agritech.tnau.ac.in","VERIFIED","2026-09-20"
"Watermelon","watermelon","Melon Fruit Fly","Bactrocera cucurbitae","Dipteran fruit fly","Young melons","Sunken brown puncture spots exuding fluid; internal rotting with maggots.","Maggots","Warm humid climate.","Pest infestation/damage","Fruit rot","Install cue-lure traps @ 10/acre; bait spray of Malathion 50% EC (2ml) + Jaggery (10g) / L.","Field sanitation; collect and bury dropped fruits.","ICAR-IIHR & TNAU","https://agritech.tnau.ac.in","VERIFIED","2026-09-20"
"Muskmelon","muskmelon","Melon Fruit Fly","Bactrocera cucurbitae","Dipteran fruit fly","Developing fruits","Puncture spots on rind; internal tunneling by larvae resulting in premature fruit rot.","Maggots","Warm humid season.","Pest infestation/damage","Fruit rot","Install cue-lure pheromone traps; bait spray of jaggery + Malathion.","Bury infested fruits deeply; avoid continuous cucurbit cropping.","ICAR-IIHR Bengaluru","https://iihr.res.in","VERIFIED","2026-09-20"
"Citrus Lime","citrus_lime","Citrus Butterfly","Papilio demoleus","Lepidopteran defoliator","Young shoots and tender leaves","Young caterpillars resemble bird droppings; mature caterpillars feed voraciously on leaves, completely defoliating seedlings and nursery stock.","Larvae","Flushing periods (July-September and February-March).","Pest infestation/damage","None directly transmitted","Hand collection of caterpillars in small gardens/nurseries; spray Bacillus thuringiensis @ 2g/L or Quinalphos 25% EC @ 2ml/L.","Install light traps; spray neem oil 10,000 ppm @ 2ml/L on young flushes.","ICAR-CCRI Nagpur & TNAU","https://ccri.icar.gov.in","VERIFIED","2026-09-20"
"Citrus Lime","citrus_lime","Citrus Leaf Miner","Phyllocnistis citrella","Lepidopteran leaf miner","Tender new flushes","Silvery serpentine winding mines on lower leaf surface; leaves curl and crinkle; provides entry points for Citrus Canker bacterium.","Larvae","Warm humid weather during new flush emergence.","Pest wounds predispose and facilitate bacterial pathogen infection","Citrus Canker (Xanthomonas axonopodis pv. citri)","Spray Thiamethoxam 25% WG @ 0.3g/L or Imidacloprid 17.8% SL @ 0.3ml/L or NSKE 5% at flush emergence.","Prune off-season flushes; maintain synchronous flushing through irrigation scheduling.","ICAR-CCRI Nagpur","https://ccri.icar.gov.in","VERIFIED","2026-09-20"
"Coconut","coconut","Rhinoceros Beetle","Oryctes rhinoceros","Coleopteran scarab beetle","Crown, spindle leaf, spathes","V-shaped geometric cuts on opened fronds; holes bored into crown base plugged with chewed fiber; destroyed growing tips.","Adult beetles","Presence of decomposing farmyard manure or dead palm trunks nearby.","Pest infestation/damage","Bore holes predispose palm to deadly Red Palm Weevil and fungal bud rot","Hook out beetles from crown with curved iron hook; place naphthalene balls (3 balls) covered with fine sand in top leaf axils; apply Metarhizium anisopliae to manure pits.","Treat breeding manure heaps with Metarhizium anisopliae @ 5x10^11 spores/m3; install Oryctalure pheromone traps @ 1/ha.","ICAR-CPCRI Kasaragod & TNAU","https://cpcri.icar.gov.in","VERIFIED","2026-09-20"
"Coconut","coconut","Red Palm Weevil","Rhynchophorus ferrugineus","Coleopteran snout beetle","Trunk, crown base","Oozing of viscous brown fluid from trunk holes; chewed fibrous frass ejected; gnawing sound heard from trunk; central spindle wilts.","Grubs","Palms aged 5-20 years with pruning cuts or beetle damage.","Pest infestation/damage","Secondary trunk rot","Trunk injection of Imidacloprid 17.8% SL (3-5 ml in 10-15 ml water) or stem furrow treatment; seal all wounds with coal tar.","Install Ferrolure pheromone bucket traps @ 1/ha with food bait (pineapple/toddy); never cut green fronds within 120cm of base.","ICAR-CPCRI Kasaragod","https://cpcri.icar.gov.in","VERIFIED","2026-09-20"
"Arecanut","arecanut","Arecanut Spindle Bug","Carvalhoia arecae","Hemipteran mirid bug","Innermost tender spindle leaf","Bugs suck sap from unexpanded spindle leaf; opened leaflets show brown necrotic linear patches and shot holes; stunted palm growth.","Nymphs and adults","Humid monsoon climate in Western Ghats and coastal belt.","Pest infestation/damage","None directly transmitted","Spray or place Thiamethoxam 25% WG @ 0.3g/L or Dimethoate 30% EC @ 1.5ml/L directly into innermost leaf axils.","Regular cleaning of palm crowns; avoid heavy intercrop shading.","ICAR-CPCRI Kasaragod & UAS Dharwad","https://cpcri.icar.gov.in","VERIFIED","2026-09-20"
"Cashew","cashew","Tea Mosquito Bug","Helopeltis antonii","Hemipteran mirid bug","Flushing shoots, panicles, immature nuts, apples","Necrotic angular brown lesions on leaves and shoots; blossom blight where panicles dry up like scorched by fire; fruit drop.","Nymphs and adults","Flushing, flowering and nut development (November-February).","Pest infestation/damage","Die-back disease","Sequential spray schedule: 1st spray at flushing with Lambda-cyhalothrin 5% EC @ 0.6ml/L; 2nd at flowering with Acetamiprid 20% SP @ 0.5g/L; 3rd at fruit set.","Prune dead twigs after harvest; monitor canopy weekly.","ICAR-DCR Puttur & TNAU","https://cashew.icar.gov.in","VERIFIED","2026-09-20"
"Cashew","cashew","Cashew Stem and Root Borer (CSRB)","Plocaederus ferrugineus","Coleopteran longhorn beetle","Trunk collar, root zone","Extrusion of reddish-brown fibrous frass and gum at base; yellowing and drying of canopy; tree death.","Grubs","Neglected orchards, bark injuries.","Pest infestation/damage","Root rot","Chisel out grubs from trunk; swab trunk with Chlorpyrifos 20% EC @ 10ml/L or Carbaryl 50% WP @ 20g/L.","Swab trunk with coal tar + kerosene (1:2) up to 1 meter; avoid mechanical trunk injury.","ICAR-DCR Puttur","https://cashew.icar.gov.in","VERIFIED","2026-09-20"
"Coffee","coffee","Coffee White Stem Borer","Xylotrechus quadripes","Coleopteran longhorn cerambycid","Main stem and thick primary branches of Arabica coffee","Ridiged rings on stem bark; yellowing and wilting of foliage; plants easily break at ground level; wood full of compact frass tunnels.","Grubs","Exposed unshaded coffee bushes, warm sunny post-monsoon months (October-December and April-May).","Pest infestation/damage","None directly transmitted","Trace, uproot and burn infested plants (tracing); swab main stem with Chlorpyrifos 20% EC @ 6ml/L with wetting agent in April and October.","Maintain two-tier canopy shade (40-50% filtered sunlight); stem wrapping with gunny/polythene sheets during flight season.","Coffee Board of India Research Dept & TNAU","https://coffeeboard.gov.in","VERIFIED","2026-09-20"
"Coffee","coffee","Coffee Berry Borer","Hypothenemus hampei","Coleopteran scolytid beetle","Green, ripe and dry coffee berries","Pin-sized entrance hole drilled into navel (calyx) region of berry; beans hollowed out and powderized.","Adult females and grubs","High relative humidity, unharvested berries left on bush.","Pest infestation/damage","None directly transmitted","Spray Beauveria bassiana @ 1x10^8 conidia/ml at berry development; spray Chlorpyrifos 20% EC @ 2ml/L if infestation >10%.","Gleaning (clean harvest leaving no berries on plants or ground); install Brocap alcohol traps @ 20/ha.","Coffee Board of India Balehonnur","https://coffeeboard.gov.in","VERIFIED","2026-09-20"
"Tea","tea","Tea Mosquito Bug","Helopeltis theivora","Hemipteran mirid bug","Tender flush, buds, leaves","Circular brown water-soaked spots which turn dark black and dry; leaves curl up and shoots dry (inverted cup symptom).","Nymphs and adults","Cloudy damp weather, shaded bush pockets.","Pest infestation/damage","None directly transmitted","Spray Thiamethoxam 25% WG @ 0.25g/L or Bifenthrin 8% SC @ 1ml/L or Quinalphos 25% EC @ 2ml/L (strict adherence to CIBRC & PPC tea regulations).","Maintain regular shear plucking; prune out shade trees to avoid excessive darkness.","UPASI Tea Research Institute & TNAU","https://upasitearesearch.org","VERIFIED","2026-09-20"
"Tea","tea","Red Spider Mite","Oligonychus coffeae","Acari (Spider mite)","Upper surface of mature leaves","Bronze or rusty brown discoloration along midrib and main veins; leaf dullness, heavy defoliation during dry weather.","Nymphs and adults","Hot dry weather (December-April in South Indian tea hills).","Pest infestation/damage","None directly transmitted","Spray Spiromesifen 22.9% SC @ 0.8ml/L or Propargite 57% EC @ 2ml/L or Wettable Sulphur 80% WP @ 2g/L.","Foliar water misting; avoid roadside dust pollution over tea canopies.","UPASI Tea Research Institute Valparai","https://upasitearesearch.org","VERIFIED","2026-09-20"
"Rubber","rubber","Bark Eating Caterpillar","Indarbela quadrinotata","Lepidopteran trunk borer","Trunk bark, tapping panel","Silken webbing ribbons containing wood frass and excreta on bark; tunnels bored into wood disrupt latex tapping.","Larvae","Dense shaded old plantations.","Pest infestation/damage","None directly transmitted","Clean webbing and inject Quinalphos 25% EC (2ml/L) or Kerosene into hole and plug with wet mud.","Regular bark inspection; maintain weed sanitation around rubber base.","Rubber Research Institute of India (RRII) Kottayam","https://rubberboard.gov.in","VERIFIED","2026-09-20"
"Cocoa","cocoa","Cocoa Tea Mosquito Bug","Helopeltis antonii","Hemipteran mirid bug","Tender flush, flower cushions, cherelles, developing pods","Dark necrotic spots on pods; cherelles wither and dry up (cherelle wilt); pod surface develops scab-like encrustations.","Nymphs and adults","High canopy shade, monsoon and post-monsoon seasons.","Pest infestation/damage","None directly transmitted","Spray Thiamethoxam 25% WG @ 0.3g/L or Dimethoate 30% EC @ 1.5ml/L at cherelle formation.","Prune excessive cocoa branches; regulate overhead shade in coconut/arecanut gardens.","ICAR-CPCRI Kasaragod","https://cpcri.icar.gov.in","VERIFIED","2026-09-20"
"Oil Palm","oil_palm","Rhinoceros Beetle","Oryctes rhinoceros","Coleopteran scarab","Central spear leaf","Geometric V-shaped cuts on newly opened fronds; holes bored into spear leaf base.","Adult beetles","Adjacent decomposing organic matter, rotting palm logs.","Pest infestation/damage","Bacterial spear rot","Place naphthalene balls (10g) in upper leaf axils; apply Metarhizium anisopliae to organic compost pits.","Plant cover crops (Mucuna bracteata); pheromone traps (Oryctalure @ 1/ha).","ICAR-IIOPR Pedavegi","https://iiopr.icar.gov.in","VERIFIED","2026-09-20"
"Palmyrah","palmyrah","Black Headed Caterpillar","Opisina arenosella","Lepidopteran defoliator","Lower surface of fronds","Caterpillars build silken galleries on leaf undersides and scrape green chlorophyll, giving a burnt, scorched grey appearance.","Larvae","Dry warm summer months.","Pest infestation/damage","None directly transmitted","Release larval parasitoids Goniozus nephantidis @ 20.5% and Bracon brevicornis; root feeding with Chlorpyrifos 20% EC @ 10ml + 10ml water.","Cut and burn severely infested bottom fronds.","TNAU Agritech Portal & ICAR","https://agritech.tnau.ac.in","VERIFIED","2026-09-20"
"Black Pepper","black_pepper","Pollu Beetle","Longitarsus nigripennis","Coleopteran flea beetle","Tender leaves, spikes, developing berries","Adults scrape leaves; grubs bore into berries and hollow them out, turning them into dry empty shells (pollu berries).","Grubs and adult beetles","Monsoon season (July-October) in Western Ghats.","Pest infestation/damage","None directly transmitted","Spray Quinalphos 25% EC @ 2ml/L in June-July and October; or spray Neemgold 0.5%.","Regulate overhead shade on standards; rake soil around vine base.","ICAR-IISR Kozhikode & TNAU","https://spices.res.in","VERIFIED","2026-09-20"
"Black Pepper","black_pepper","Top Shoot Borer","Cydia hemidoxa","Lepidopteran borer","Tender terminal shoots","Caterpillars bore into growing terminal shoots causing shoot tip wilting and dieback.","Larvae","Post-monsoon flushing period (July-December).","Pest infestation/damage","None directly transmitted","Spray Dimethoate 30% EC @ 1.7ml/L or Quinalphos 25% EC @ 2ml/L on new shoots.","Prune infested wilted tips.","ICAR-IISR Kozhikode","https://spices.res.in","VERIFIED","2026-09-20"
"Cardamom","cardamom","Cardamom Thrips","Sciothrips cardamomi","Thysanopteran sucking pest","Panicles, flowers, capsules","Rasping on capsules produces corky encrustations, scabs, and shedding of flowers; infested capsules fetch low commercial grade.","Nymphs and adults","Dry months (December-May) in cardamom hills.","Pest infestation/damage","None directly transmitted","Spray Quinalphos 25% EC @ 2ml/L or Fipronil 5% SC @ 1.5ml/L or Diafenthiuron 50% WP @ 1.25g/L on panicles.","Regular cleaning of clumps (de-trashing) before onset of flowering.","ICAR-IISR Kozhikode & Spices Board","https://spices.res.in","VERIFIED","2026-09-20"
"Cardamom","cardamom","Cardamom Shoot and Capsule Borer","Conogethes punctiferalis","Lepidopteran borer","Pseudostem, panicles, capsules","Bore holes on pseudostem plugged with frass; central leaf dries (dead heart); capsules bored with hollow seeds.","Larvae","Post-monsoon season.","Pest infestation/damage","None directly transmitted","Spray Chlorantraniliprole 18.5% SC @ 0.3ml/L or Spinosad 45% SC @ 0.3ml/L.","Remove alternate hosts (castor, wild ginger) near plantations.","ICAR-IISR & Spices Board India","https://spices.res.in","VERIFIED","2026-09-20"
"Turmeric","turmeric","Turmeric Shoot Borer","Conogethes punctiferalis","Lepidopteran borer","Pseudostem","Larvae bore into pseudostem; central leaf dries up producing dead hearts; bore hole shows frass exudation.","Larvae","Warm humid climate (July-October).","Pest infestation/damage","None directly transmitted","Spray Dimethoate 30% EC @ 1.7ml/L or Chlorantraniliprole 18.5% SC @ 0.3ml/L at 21-day intervals.","Prune and destroy dead-heart shoots; avoid growing castor nearby.","ICAR-IISR Kozhikode & TNAU","https://spices.res.in","VERIFIED","2026-09-20"
"Ginger","ginger","Ginger Shoot Borer","Conogethes punctiferalis","Lepidopteran borer","Pseudostem","Bore holes on pseudostem with protruding frass; central shoots yellow and dry up forming dead hearts.","Larvae","July-October monsoon season.","Pest infestation/damage","Secondary rhizome rot","Spray Chlorantraniliprole 18.5% SC @ 0.3ml/L or Quinalphos 25% EC @ 2ml/L.","Rogue out and burn dead-heart tillers; clean seed rhizomes.","ICAR-IISR Kozhikode","https://spices.res.in","VERIFIED","2026-09-20"
"Clove","clove","Clove Stem Borer","Sahyadrassus malabaricus","Lepidopteran wood borer","Main stem and branch forks","Larvae bore circular tunnels in wood, covered with coarse mat of wood particles and silk; branches wither and snap.","Larvae","Humid hill plantation zones.","Pest infestation/damage","None directly transmitted","Clear webbing and inject Quinalphos 25% EC (2ml/L) or Kerosene into hole and seal with mud.","Regular stem inspection; maintain orchard sanitation.","ICAR-IISR Kozhikode & TNAU","https://spices.res.in","VERIFIED","2026-09-20"
"Coriander","coriander","Coriander Aphid","Hyadaphis coriandri","Hemipteran sucking insect","Tender shoots, umbels, developing seeds","Colonies suck sap from tender shoots and flowering umbels; umbels dry up and fail to set seed; heavy honeydew.","Nymphs and adults","Cloudy humid weather during flowering.","Pest infestation/damage","None directly transmitted","Spray Dimethoate 30% EC @ 1.5ml/L or Imidacloprid 17.8% SL @ 0.3ml/L or NSKE 5%.","Install yellow sticky traps; timely sowing in October.","ICAR-NRCSS Ajmer & TNAU","https://nrcss.icar.gov.in","VERIFIED","2026-09-20"
